_startDate,_endDate,_value
2021-02-27 14:58:30 +0200,2021-02-27 14:59:21 +0200,0
2021-02-27 15:13:59 +0200,2021-02-27 15:14:48 +0200,0
2021-02-27 15:16:07 +0200,2021-02-27 15:16:25 +0200,0
2021-02-27 15:17:00 +0200,2021-02-27 15:21:59 +0200,0
2021-02-27 15:21:59 +0200,2021-02-27 15:26:57 +0200,0
2021-02-27 15:28:39 +0200,2021-02-27 15:30:22 +0200,0.05
2021-02-27 15:30:52 +0200,2021-02-27 15:35:52 +0200,0
2021-02-27 15:35:52 +0200,2021-02-27 15:40:51 +0200,0
2021-02-27 15:40:51 +0200,2021-02-27 15:45:50 +0200,0
2021-02-27 15:54:10 +0200,2021-02-27 15:57:21 +0200,0.01
2021-02-27 16:01:28 +0200,2021-02-27 16:02:19 +0200,0
2021-02-27 16:19:22 +0200,2021-02-27 16:22:20 +0200,0.01
2021-02-27 16:23:41 +0200,2021-02-27 16:26:27 +0200,0
2021-02-27 16:29:55 +0200,2021-02-27 16:34:55 +0200,0
2021-02-27 16:34:55 +0200,2021-02-27 16:38:02 +0200,0.01
2021-02-27 16:38:29 +0200,2021-02-27 16:39:27 +0200,0
2021-02-27 16:39:47 +0200,2021-02-27 16:42:03 +0200,0
2021-02-27 16:42:24 +0200,2021-02-27 16:43:25 +0200,0
2021-02-27 16:55:37 +0200,2021-02-27 16:59:13 +0200,0
2021-02-27 16:59:23 +0200,2021-02-27 17:04:22 +0200,0
2021-02-27 17:04:22 +0200,2021-02-27 17:09:21 +0200,0.01
2021-02-27 17:12:56 +0200,2021-02-27 17:14:47 +0200,0.03
2021-02-27 17:21:39 +0200,2021-02-27 17:25:39 +0200,0
2021-02-27 17:26:23 +0200,2021-02-27 17:27:59 +0200,0.08
2021-02-27 17:28:15 +0200,2021-02-27 17:30:36 +0200,0.08
2021-02-27 17:31:21 +0200,2021-02-27 17:33:43 +0200,0.07
2021-02-27 17:34:22 +0200,2021-02-27 17:36:25 +0200,0.2
2021-02-27 17:39:11 +0200,2021-02-27 17:44:11 +0200,0.01
2021-02-27 17:44:28 +0200,2021-02-27 17:45:50 +0200,0.04
2021-02-27 17:46:28 +0200,2021-02-27 17:47:25 +0200,0
2021-02-27 17:47:50 +0200,2021-02-27 17:48:20 +0200,0.06
2021-02-27 17:58:37 +0200,2021-02-27 17:59:51 +0200,0.02
2021-02-27 18:06:00 +0200,2021-02-27 18:06:46 +0200,0
2021-02-27 18:07:41 +0200,2021-02-27 18:10:43 +0200,0
2021-02-27 18:14:30 +0200,2021-02-27 18:14:51 +0200,0
2021-02-27 18:16:14 +0200,2021-02-27 18:17:02 +0200,0
2021-02-27 18:21:09 +0200,2021-02-27 18:22:05 +0200,0
2021-02-27 18:22:35 +0200,2021-02-27 18:24:56 +0200,0
2021-02-27 18:25:18 +0200,2021-02-27 18:25:54 +0200,0
2021-02-27 18:28:48 +0200,2021-02-27 18:31:47 +0200,0
2021-02-27 18:32:21 +0200,2021-02-27 18:33:45 +0200,0
2021-02-27 19:07:38 +0200,2021-02-27 19:07:59 +0200,0.46
2021-02-27 21:34:31 +0200,2021-02-27 21:39:30 +0200,0
2021-02-27 22:01:14 +0200,2021-02-27 22:01:38 +0200,0
2021-02-27 22:02:26 +0200,2021-02-27 22:05:21 +0200,0
2021-02-28 12:13:58 +0200,2021-02-28 12:14:09 +0200,0
2021-02-28 18:44:58 +0200,2021-02-28 18:48:00 +0200,0
2021-02-28 19:19:28 +0200,2021-02-28 19:19:50 +0200,0
2021-03-01 02:29:35 +0200,2021-03-01 02:29:49 +0200,0
2021-03-01 09:42:59 +0200,2021-03-01 09:43:26 +0200,0
2021-03-01 10:02:49 +0200,2021-03-01 10:04:21 +0200,0
2021-03-01 10:04:32 +0200,2021-03-01 10:08:41 +0200,0
2021-03-01 12:48:32 +0200,2021-03-01 12:48:47 +0200,0
2021-03-01 12:52:01 +0200,2021-03-01 12:52:32 +0200,0.41
2021-03-01 12:57:25 +0200,2021-03-01 12:57:48 +0200,0
2021-03-01 13:13:33 +0200,2021-03-01 13:13:59 +0200,0
2021-03-01 13:32:07 +0200,2021-03-01 13:32:42 +0200,0
2021-03-01 13:33:05 +0200,2021-03-01 13:33:38 +0200,0
2021-03-01 14:50:56 +0200,2021-03-01 14:51:24 +0200,0.06
2021-03-01 14:55:42 +0200,2021-03-01 14:56:26 +0200,0.04
2021-03-01 15:36:18 +0200,2021-03-01 15:36:29 +0200,0
2021-03-01 15:41:44 +0200,2021-03-01 15:42:06 +0200,0
2021-03-01 15:56:02 +0200,2021-03-01 15:56:22 +0200,0
2021-03-01 17:57:50 +0200,2021-03-01 17:59:05 +0200,0
2021-03-01 18:00:13 +0200,2021-03-01 18:02:13 +0200,0
2021-03-01 18:03:16 +0200,2021-03-01 18:03:41 +0200,0
2021-03-01 19:36:48 +0200,2021-03-01 19:37:08 +0200,0
2021-03-01 19:37:30 +0200,2021-03-01 19:40:04 +0200,0
2021-03-01 19:59:03 +0200,2021-03-01 20:01:41 +0200,0
2021-03-01 23:24:20 +0200,2021-03-01 23:26:41 +0200,0
2021-03-01 23:35:29 +0200,2021-03-01 23:39:36 +0200,0
2021-03-01 23:43:17 +0200,2021-03-01 23:43:37 +0200,0
2021-03-01 23:43:48 +0200,2021-03-01 23:44:12 +0200,0
2021-03-02 09:27:18 +0200,2021-03-02 09:27:33 +0200,0
2021-03-02 12:44:58 +0200,2021-03-02 12:45:19 +0200,0
2021-03-02 12:45:29 +0200,2021-03-02 12:46:01 +0200,0.05
2021-03-02 13:48:31 +0200,2021-03-02 13:48:58 +0200,0.18
2021-03-02 14:30:27 +0200,2021-03-02 14:31:01 +0200,0
2021-03-02 15:34:26 +0200,2021-03-02 15:34:56 +0200,0
2021-03-02 16:03:46 +0200,2021-03-02 16:04:17 +0200,0
2021-03-02 16:07:42 +0200,2021-03-02 16:08:34 +0200,0
2021-03-02 16:48:27 +0200,2021-03-02 16:49:45 +0200,0.02
2021-03-02 16:50:39 +0200,2021-03-02 16:51:19 +0200,0
2021-03-02 16:52:33 +0200,2021-03-02 16:52:49 +0200,0
2021-03-02 16:53:14 +0200,2021-03-02 16:55:23 +0200,0
2021-03-02 17:58:11 +0200,2021-03-02 17:58:50 +0200,0
2021-03-02 18:01:12 +0200,2021-03-02 18:04:40 +0200,0
2021-03-02 18:18:06 +0200,2021-03-02 18:18:25 +0200,0
2021-03-02 18:28:42 +0200,2021-03-02 18:31:02 +0200,0
2021-03-02 18:31:44 +0200,2021-03-02 18:36:42 +0200,0
2021-03-02 18:36:44 +0200,2021-03-02 18:38:30 +0200,0
2021-03-02 20:13:19 +0200,2021-03-02 20:18:18 +0200,0
2021-03-02 20:18:18 +0200,2021-03-02 20:18:34 +0200,0
2021-03-02 20:21:55 +0200,2021-03-02 20:22:11 +0200,0
2021-03-02 20:23:31 +0200,2021-03-02 20:28:31 +0200,0
2021-03-02 20:28:31 +0200,2021-03-02 20:29:04 +0200,0.04
2021-03-03 10:44:11 +0200,2021-03-03 10:46:14 +0200,0
2021-03-03 10:46:24 +0200,2021-03-03 10:48:13 +0200,0
2021-03-03 10:48:45 +0200,2021-03-03 10:49:23 +0200,0.38
2021-03-03 11:21:46 +0200,2021-03-03 11:22:21 +0200,0
2021-03-03 11:31:40 +0200,2021-03-03 11:34:22 +0200,0
2021-03-03 11:36:14 +0200,2021-03-03 11:36:39 +0200,0
2021-03-03 14:42:40 +0200,2021-03-03 14:43:25 +0200,0.11
2021-03-03 14:47:11 +0200,2021-03-03 14:52:10 +0200,0
2021-03-03 14:52:12 +0200,2021-03-03 14:57:12 +0200,0
2021-03-03 15:54:52 +0200,2021-03-03 15:57:44 +0200,0
2021-03-03 16:43:00 +0200,2021-03-03 16:45:32 +0200,0
2021-03-03 17:46:30 +0200,2021-03-03 17:47:29 +0200,0
2021-03-03 17:47:40 +0200,2021-03-03 17:49:14 +0200,0
2021-03-03 17:49:34 +0200,2021-03-03 17:54:34 +0200,0
2021-03-04 10:07:55 +0200,2021-03-04 10:10:23 +0200,0
2021-03-04 10:11:52 +0200,2021-03-04 10:12:54 +0200,0
2021-03-05 18:49:56 +0200,2021-03-05 18:50:21 +0200,0
2021-03-05 18:50:56 +0200,2021-03-05 18:51:57 +0200,0
2021-03-05 18:52:53 +0200,2021-03-05 18:53:07 +0200,0
2021-03-05 18:53:22 +0200,2021-03-05 18:54:03 +0200,0
2021-03-05 18:54:28 +0200,2021-03-05 18:55:42 +0200,0
2021-03-06 16:40:11 +0200,2021-03-06 16:41:11 +0200,0
2021-03-06 16:42:23 +0200,2021-03-06 16:43:35 +0200,0
2021-03-06 16:53:05 +0200,2021-03-06 16:58:04 +0200,0
2021-03-06 18:26:36 +0200,2021-03-06 18:27:14 +0200,0
2021-03-06 18:28:34 +0200,2021-03-06 18:29:05 +0200,0.18
2021-03-06 18:34:43 +0200,2021-03-06 18:36:22 +0200,0.04
2021-03-06 18:50:28 +0200,2021-03-06 18:50:42 +0200,0
2021-03-07 12:31:24 +0200,2021-03-07 12:33:24 +0200,0
2021-03-07 13:59:12 +0200,2021-03-07 13:59:52 +0200,0.8
2021-03-07 16:28:38 +0200,2021-03-07 16:30:39 +0200,0.46
2021-03-07 16:31:10 +0200,2021-03-07 16:31:42 +0200,0.29
2021-03-07 16:32:14 +0200,2021-03-07 16:33:32 +0200,0.7
2021-03-07 16:39:00 +0200,2021-03-07 16:40:29 +0200,0.11
2021-03-07 16:41:06 +0200,2021-03-07 16:42:37 +0200,0.83
2021-03-07 16:46:08 +0200,2021-03-07 16:47:11 +0200,1
2021-03-07 16:53:22 +0200,2021-03-07 16:54:45 +0200,0.9
2021-03-07 17:00:52 +0200,2021-03-07 17:02:25 +0200,0.88
2021-03-07 17:05:40 +0200,2021-03-07 17:06:10 +0200,0.6
2021-03-07 17:06:23 +0200,2021-03-07 17:07:26 +0200,0.56
2021-03-07 17:11:42 +0200,2021-03-07 17:12:17 +0200,0.92
2021-03-07 17:12:35 +0200,2021-03-07 17:13:44 +0200,0.83
2021-03-07 17:19:28 +0200,2021-03-07 17:21:35 +0200,0.5
2021-03-07 20:43:38 +0200,2021-03-07 20:46:40 +0200,0
2021-03-08 09:52:49 +0200,2021-03-08 09:55:42 +0200,0
2021-03-08 13:20:01 +0200,2021-03-08 13:22:09 +0200,0
2021-03-08 13:38:21 +0200,2021-03-08 13:38:51 +0200,0
2021-03-08 13:40:37 +0200,2021-03-08 13:41:02 +0200,0
2021-03-08 20:28:33 +0200,2021-03-08 20:29:44 +0200,0
2021-03-08 20:29:57 +0200,2021-03-08 20:33:49 +0200,0.01
2021-03-08 20:37:53 +0200,2021-03-08 20:38:19 +0200,0
2021-03-08 20:39:52 +0200,2021-03-08 20:44:51 +0200,0
2021-03-08 23:39:41 +0200,2021-03-08 23:40:06 +0200,0.06
2021-03-09 11:49:05 +0200,2021-03-09 11:49:34 +0200,0
2021-03-09 11:50:42 +0200,2021-03-09 11:51:13 +0200,0.08
2021-03-09 16:17:27 +0200,2021-03-09 16:19:38 +0200,0
2021-03-09 16:42:23 +0200,2021-03-09 16:42:56 +0200,0
2021-03-09 17:41:24 +0200,2021-03-09 17:41:50 +0200,0
2021-03-09 17:50:02 +0200,2021-03-09 17:52:20 +0200,0
2021-03-09 18:28:40 +0200,2021-03-09 18:29:23 +0200,0
2021-03-09 19:43:13 +0200,2021-03-09 19:46:59 +0200,0
2021-03-09 21:37:29 +0200,2021-03-09 21:37:54 +0200,0
2021-03-09 21:38:05 +0200,2021-03-09 21:39:28 +0200,0
2021-03-09 21:39:44 +0200,2021-03-09 21:43:15 +0200,0
2021-03-10 17:44:37 +0200,2021-03-10 17:44:59 +0200,0
2021-03-10 17:51:48 +0200,2021-03-10 17:52:08 +0200,0.5
2021-03-10 18:04:35 +0200,2021-03-10 18:06:34 +0200,0.02
2021-03-10 18:06:47 +0200,2021-03-10 18:08:20 +0200,0
2021-03-11 19:32:07 +0200,2021-03-11 19:32:24 +0200,0
2021-03-11 19:33:31 +0200,2021-03-11 19:34:57 +0200,0
2021-03-11 19:35:24 +0200,2021-03-11 19:36:07 +0200,0
2021-03-11 21:49:32 +0200,2021-03-11 21:51:42 +0200,0
2021-03-11 22:10:23 +0200,2021-03-11 22:11:23 +0200,0
2021-03-13 01:05:07 +0200,2021-03-13 01:05:40 +0200,0
2021-03-13 13:34:06 +0200,2021-03-13 13:34:39 +0200,0.1
2021-03-13 15:32:02 +0200,2021-03-13 15:34:54 +0200,0
2021-03-13 16:06:30 +0200,2021-03-13 16:07:32 +0200,0
2021-03-13 17:06:32 +0200,2021-03-13 17:07:04 +0200,0
2021-03-13 17:07:18 +0200,2021-03-13 17:12:16 +0200,0
2021-03-13 17:26:59 +0200,2021-03-13 17:31:58 +0200,0
2021-03-13 17:31:58 +0200,2021-03-13 17:33:19 +0200,0.02
2021-03-13 21:05:30 +0200,2021-03-13 21:07:06 +0200,0
2021-03-13 21:07:38 +0200,2021-03-13 21:11:14 +0200,0
2021-03-13 22:07:56 +0200,2021-03-13 22:12:24 +0200,0
2021-03-14 20:39:09 +0200,2021-03-14 20:41:59 +0200,0
2021-03-14 20:43:24 +0200,2021-03-14 20:48:22 +0200,0
2021-03-14 20:48:23 +0200,2021-03-14 20:53:20 +0200,0
2021-03-14 20:53:22 +0200,2021-03-14 20:58:21 +0200,0
2021-03-14 20:58:42 +0200,2021-03-14 21:03:42 +0200,0
